State,City,Population1,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,"Larceny-theft","Motor vehicle theft",Arson2
ALABAMA3,BIRMINGHAM4,213258,54,182,1011,1916,5806,10522,1513,123
ALABAMA3,HUNTSVILLE,180972,13,51,408,1049,2680,6306,767,38
ALABAMA3,MOBILE5,251869,30,48,637,904,4058,8891,701,
ALABAMA3,MONTGOMERY,206754,31,38,354,284,2884,7043,816,52
ALASKA,ANCHORAGE,296955,12,283,465,1628,1080,7750,625,126
ARIZONA,CHANDLER,239466,2,62,171,446,1344,5741,331,35
ARIZONA,GILBERT,211404,2,19,56,99,816,2872,132,25
ARIZONA,GLENDALE,229931,22,44,431,617,2442,10838,1458,65
ARIZONA,MESA,445256,18,131,497,1192,2769,11407,941,74
ARIZONA,PEORIA,156246,2,35,56,208,1088,3360,326,6
ARIZONA,PHOENIX,1466097,116,559,3324,4090,18666,38258,7555,273
ARIZONA,SCOTTSDALE,220462,4,34,125,237,1424,5054,246,25
ARIZONA,SURPRISE,119181,0,12,51,68,617,1873,108,22
ARIZONA,TEMPE,164008,5,45,237,500,1579,6804,550,28
ARIZONA,TUCSON6,527479,51,204,1163,2022,4979,,2746,167
ARKANSAS,LITTLE ROCK,194988,37,161,858,1849,4655,9756,1093,99
CALIFORNIA,ANAHEIM,340218,15,105,446,715,1410,5964,1119,26
CALIFORNIA,ANTIOCH,103575,5,21,290,502,1335,1571,967,56
CALIFORNIA,BAKERSFIELD,351568,18,39,548,1261,4321,8123,2396,125
CALIFORNIA,BERKELEY,113903,1,19,340,122,976,3460,628,25
CALIFORNIA,BURBANK,104555,1,17,68,105,395,1926,234,11
CALIFORNIA,CARLSBAD,106566,4,11,35,160,468,1375,127,2
CALIFORNIA,CHULA VISTA,246783,6,34,233,397,807,3316,884,36
CALIFORNIA,CONCORD,123502,7,19,167,237,898,2268,637,9
CALIFORNIA,CORONA,154165,2,10,105,83,705,2298,351,20
CALIFORNIA,COSTA MESA,111253,4,30,83,114,524,2743,267,14
CALIFORNIA,DALY CITY,102312,1,14,59,110,322,1308,250,15
CALIFORNIA,DOWNEY,113086,2,23,204,161,769,2054,1053,4
CALIFORNIA,EL CAJON,100647,2,28,187,312,603,1443,422,14
CALIFORNIA,ELK GROVE,154814,3,18,98,404,664,2282,324,14
CALIFORNIA,EL MONTE,114809,1,33,196,191,544,1136,606,6
CALIFORNIA,ESCONDIDO,145603,3,28,177,287,557,2156,497,19
CALIFORNIA,FAIRFIELD,106559,5,21,148,251,572,2055,347,13
CALIFORNIA,FONTANA,198374,5,39,241,435,1041,2411,783,9
CALIFORNIA,FREMONT,216606,2,35,156,191,1206,2303,443,19
CALIFORNIA,FRESNO,500480,35,51,1020,1809,5713,14928,4780,136
CALIFORNIA,FULLERTON,136750,2,25,104,175,643,2548,359,11
CALIFORNIA,GARDEN GROVE,172892,2,19,171,257,717,2242,428,17
CALIFORNIA,GLENDALE,193973,0,14,108,136,623,2506,323,5
CALIFORNIA,HAYWARD,145881,7,44,360,168,988,1693,1101,16
CALIFORNIA,HUNTINGTON BEACH,192226,4,34,108,260,753,3584,252,20
CALIFORNIA,INGLEWOOD,110962,13,33,343,419,568,1459,555,32
CALIFORNIA,IRVINE,214872,2,11,40,67,513,2649,118,17
CALIFORNIA,LANCASTER,158474,4,42,273,532,986,1843,387,35
CALIFORNIA,LONG BEACH,467691,25,112,1320,1400,3275,7329,2212,103
CALIFORNIA,LOS ANGELES,3837207,297,828,10077,8843,17264,53469,15597,1376
CALIFORNIA,MODESTO,203530,14,67,425,907,2121,5410,1363,56
CALIFORNIA,MORENO VALLEY,195638,7,32,330,363,2095,2767,900,3
CALIFORNIA,,104682,2,13,34,56,348,1031,116,10
CALIFORNIA,NORWALK,106790,5,10,138,218,476,1156,642,21
CALIFORNIA,OAKLAND,395317,104,202,3365,2981,5170,9429,6305,138
CALIFORNIA,OCEANSIDE,169050,7,58,181,374,792,2704,353,22
CALIFORNIA,ONTARIO,165851,6,27,209,251,939,3057,862,22
CALIFORNIA,ORANGE,138020,3,6,82,66,445,2001,206,9
CALIFORNIA,OXNARD,200225,8,26,274,311,577,2563,359,26
CALIFORNIA,PALMDALE,154546,9,38,246,492,959,1906,408,29
CALIFORNIA,PASADENA,138734,7,26,178,224,1011,2382,279,25
CALIFORNIA,POMONA,150810,11,54,339,523,890,2578,976,17
CALIFORNIA,RANCHO CUCAMONGA,167212,6,13,103,171,1173,2381,361,11
CALIFORNIA,RIALTO,100337,6,18,204,252,934,1524,520,21
CALIFORNIA,RICHMOND,104920,26,39,303,667,1651,1533,1362,32
CALIFORNIA,RIVERSIDE,307443,13,57,458,782,2080,6278,1273,49
CALIFORNIA,ROSEVILLE,120184,1,24,43,180,534,2786,221,11
CALIFORNIA,SACRAMENTO,471972,36,134,1162,2022,4141,11087,3335,146
CALIFORNIA,SALINAS,152210,15,34,374,692,1140,2189,1163,22
CALIFORNIA,SAN BERNARDINO,212392,30,77,720,1034,2359,4446,1656,60
CALIFORNIA,SAN DIEGO,1316919,38,293,1456,3317,5840,17610,6259,153
CALIFORNIA,SAN FRANCISCO,814701,50,131,3088,2105,4408,24304,4174,161
CALIFORNIA,SAN JOSE,957062,39,226,1101,1840,4223,12628,5121,165
CALIFORNIA,SANTA ANA,328343,13,62,591,647,1067,4222,1286,101
CALIFORNIA,SANTA CLARA,117837,2,14,67,94,409,2202,322,20
CALIFORNIA,SANTA CLARITA,178393,5,18,76,163,567,1766,235,19
CALIFORNIA,SANTA MARIA,100723,7,18,153,538,655,1510,264,9
CALIFORNIA,SANTA ROSA,169788,5,58,134,485,637,2794,275,16
CALIFORNIA,SIMI VALLEY,125698,0,9,41,66,314,1278,105,14
CALIFORNIA,STOCKTON,295136,58,90,1323,2684,4133,9651,1679,86
CALIFORNIA,SUNNYVALE,141728,3,21,68,58,393,1351,226,14
CALIFORNIA,TEMECULA,101274,0,7,54,34,547,1700,159,0
CALIFORNIA,THOUSAND OAKS,128172,1,10,34,92,319,1409,60,12
CALIFORNIA,TORRANCE,147148,2,17,91,75,509,1957,301,11
CALIFORNIA,VALLEJO,117305,18,53,435,397,2468,1716,1060,46
CALIFORNIA,VENTURA,107684,1,20,135,170,657,2468,195,5
CALIFORNIA,VICTORVILLE,117266,6,37,261,382,1359,2086,486,26
CALIFORNIA,VISALIA,125905,5,40,95,343,1110,3466,545,8
CALIFORNIA,WEST COVINA,107345,1,20,124,135,526,2212,511,1
COLORADO,ARVADA,108287,1,25,34,102,304,2052,189,29
COLORADO,AURORA,330740,12,185,504,751,2149,6896,868,87
COLORADO,BOULDER,99081,2,35,36,203,467,1904,123,55
COLORADO,CENTENNIAL,102125,0,27,23,112,325,958,71,20
COLORADO,COLORADO SPRINGS,423680,28,325,451,1071,3322,11425,1175,104
COLORADO,DENVER,610612,33,393,1143,2136,4871,14055,3589,95
COLORADO,FORT COLLINS,146494,3,56,45,309,556,3535,157,15
COLORADO,LAKEWOOD,145470,8,88,132,386,930,4761,487,15
COLORADO,PUEBLO3,108452,11,40,174,607,1584,3422,467,49
COLORADO,"THORNTON3,6",120841,0,50,50,595,513,2644,281,25
COLORADO,WESTMINSTER,107962,4,34,48,153,397,2074,329,13
CONNECTICUT,BRIDGEPORT,144496,20,116,610,701,1540,3025,1042,24
CONNECTICUT,HARTFORD,125006,27,55,602,955,1271,3372,859,91
CONNECTICUT,NEW HAVEN,130019,34,55,765,890,1401,4100,940,17
CONNECTICUT,STAMFORD,122870,6,32,190,161,282,1498,207,4
CONNECTICUT,WATERBURY,110570,7,9,183,160,818,3326,427,3
DISTRICT OF COLUMBIA,WASHINGTON,617996,108,172,3756,2949,3849,20124,4339,61
FLORIDA,CAPE CORAL,156408,3,14,58,160,1023,2855,112,13
FLORIDA,CLEARWATER,109153,10,40,182,569,719,3252,158,15
FLORIDA,CORAL SPRINGS,122746,1,4,90,141,633,2238,164,0
FLORIDA,FORT LAUDERDALE,167777,12,91,771,691,3102,6489,601,44
FLORIDA,GAINESVILLE,126049,6,82,184,640,1063,4003,290,3
FLORIDA,HIALEAH,227731,4,31,253,572,1069,5473,951,17
FLORIDA,HOLLYWOOD,142686,4,47,269,340,2054,5163,572,9
FLORIDA,JACKSONVILLE,834429,71,350,1578,3183,8518,25733,1862,108
FLORIDA,MIAMI,404901,68,96,2002,2683,5141,15080,2700,124
FLORIDA,MIAMI GARDENS,108628,24,19,413,543,1485,3270,642,26
FLORIDA,MIRAMAR,123704,4,40,192,278,981,1969,258,9
FLORIDA,ORLANDO,241548,29,119,697,1746,4165,11669,1311,45
FLORIDA,PALM BAY,104596,2,22,97,480,808,1786,145,19
