State,City,Population
ALABAMA3,BIRMINGHAM4,213258
ALABAMA3,HUNTSVILLE,180972
ALABAMA3,MOBILE5,251869
ALABAMA3,MONTGOMERY,206754
ALASKA,ANCHORAGE,296955
ARIZONA,CHANDLER,239466
ARIZONA,GILBERT,211404
ARIZONA,GLENDALE,229931
ARIZONA,MESA,445256
ARIZONA,PEORIA,156246
ARIZONA,PHOENIX,1466097
ARIZONA,SCOTTSDALE,220462
ARIZONA,SURPRISE,119181
ARIZONA,TEMPE,164008
ARIZONA,TUCSON6,527479
ARKANSAS,LITTLE ROCK,194988
CALIFORNIA,ANAHEIM,340218
CALIFORNIA,ANTIOCH,103575
CALIFORNIA,BAKERSFIELD,351568
CALIFORNIA,BERKELEY,113903
CALIFORNIA,BURBANK,104555
CALIFORNIA,CARLSBAD,106566
CALIFORNIA,CHULA VISTA,246783
CALIFORNIA,CONCORD,123502
CALIFORNIA,CORONA,154165
CALIFORNIA,COSTA MESA,111253
CALIFORNIA,DALY CITY,102312
CALIFORNIA,DOWNEY,113086
CALIFORNIA,EL CAJON,100647
CALIFORNIA,ELK GROVE,154814
CALIFORNIA,EL MONTE,114809
CALIFORNIA,ESCONDIDO,145603
CALIFORNIA,FAIRFIELD,106559
CALIFORNIA,FONTANA,198374
CALIFORNIA,FREMONT,216606
CALIFORNIA,FRESNO,500480
CALIFORNIA,FULLERTON,136750
CALIFORNIA,GARDEN GROVE,172892
CALIFORNIA,GLENDALE,193973
CALIFORNIA,HAYWARD,145881
CALIFORNIA,HUNTINGTON BEACH,192226
CALIFORNIA,INGLEWOOD,110962
CALIFORNIA,IRVINE,214872
CALIFORNIA,LANCASTER,158474
CALIFORNIA,LONG BEACH,467691
CALIFORNIA,LOS ANGELES,3837207
CALIFORNIA,MODESTO,203530
CALIFORNIA,MORENO VALLEY,195638
CALIFORNIA,,104682
CALIFORNIA,NORWALK,106790
CALIFORNIA,OAKLAND,395317
CALIFORNIA,OCEANSIDE,169050
CALIFORNIA,ONTARIO,165851
CALIFORNIA,ORANGE,138020
CALIFORNIA,OXNARD,200225
CALIFORNIA,PALMDALE,154546
CALIFORNIA,PASADENA,138734
CALIFORNIA,POMONA,150810
CALIFORNIA,RANCHO CUCAMONGA,167212
CALIFORNIA,RIALTO,100337
CALIFORNIA,RICHMOND,104920
CALIFORNIA,RIVERSIDE,307443
CALIFORNIA,ROSEVILLE,120184
CALIFORNIA,SACRAMENTO,471972
CALIFORNIA,SALINAS,152210
CALIFORNIA,SAN BERNARDINO,212392
CALIFORNIA,SAN DIEGO,1316919
CALIFORNIA,SAN FRANCISCO,814701
CALIFORNIA,SAN JOSE,957062
CALIFORNIA,SANTA ANA,328343
CALIFORNIA,SANTA CLARA,117837
CALIFORNIA,SANTA CLARITA,178393
CALIFORNIA,SANTA MARIA,100723
CALIFORNIA,SANTA ROSA,169788
CALIFORNIA,SIMI VALLEY,125698
CALIFORNIA,STOCKTON,295136
CALIFORNIA,SUNNYVALE,141728
CALIFORNIA,TEMECULA,101274
CALIFORNIA,THOUSAND OAKS,128172
CALIFORNIA,TORRANCE,147148
CALIFORNIA,VALLEJO,117305
CALIFORNIA,VENTURA,107684
CALIFORNIA,VICTORVILLE,117266
CALIFORNIA,VISALIA,125905
CALIFORNIA,WEST COVINA,107345
COLORADO,ARVADA,108287
COLORADO,AURORA,330740
COLORADO,BOULDER,99081
COLORADO,CENTENNIAL,102125
COLORADO,COLORADO SPRINGS,423680
COLORADO,DENVER,610612
COLORADO,FORT COLLINS,146494
COLORADO,LAKEWOOD,145470
COLORADO,PUEBLO3,108452
COLORADO,"THORNTON3,6",120841
COLORADO,WESTMINSTER,107962
CONNECTICUT,BRIDGEPORT,144496
CONNECTICUT,HARTFORD,125006
CONNECTICUT,NEW HAVEN,130019
CONNECTICUT,STAMFORD,122870
CONNECTICUT,WATERBURY,110570
DISTRICT OF COLUMBIA,WASHINGTON,617996
FLORIDA,CAPE CORAL,156408
FLORIDA,CLEARWATER,109153
FLORIDA,CORAL SPRINGS,122746
FLORIDA,FORT LAUDERDALE,167777
FLORIDA,GAINESVILLE,126049
FLORIDA,HIALEAH,227731
FLORIDA,HOLLYWOOD,142686
FLORIDA,JACKSONVILLE,834429
FLORIDA,MIAMI,404901
FLORIDA,MIAMI GARDENS,108628
FLORIDA,MIRAMAR,123704
FLORIDA,ORLANDO,241548
FLORIDA,PALM BAY,104596
FLORIDA,PEMBROKE PINES,156859
FLORIDA,POMPANO BEACH,101206
FLORIDA,PORT ST. LUCIE,166846
FLORIDA,ST. PETERSBURG,248105
FLORIDA,TALLAHASSEE,183848
FLORIDA,TAMPA,340284
FLORIDA,WEST PALM BEACH,101281
GEORGIA,ATHENS-CLARKE COUNTY,117114
GEORGIA,ATLANTA,425533
GEORGIA,COLUMBUS,192385
GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,226422
IDAHO,BOISE,207945
ILLINOIS,AURORA,198495
ILLINOIS,CHICAGO7,2703713
ILLINOIS,ELGIN,108514
ILLINOIS,JOLIET,147877
ILLINOIS,NAPERVILLE,142280
ILLINOIS,PEORIA,115353
ILLINOIS,ROCKFORD,153331
ILLINOIS,SPRINGFIELD,116600
INDIANA,EVANSVILLE,118029
INDIANA,FORT WAYNE3,254987
INDIANA,SOUTH BEND,101685
IOWA,CEDAR RAPIDS,126988
IOWA,DAVENPORT3,100207
IOWA,DES MOINES,204498
KANSAS,KANSAS CITY3,146712
KANSAS,OLATHE,126671
KANSAS,OVERLAND PARK,174473
KANSAS,TOPEKA,128283
KANSAS,WICHITA,384796
KENTUCKY,LEXINGTON3,297847
KENTUCKY,LOUISVILLE METRO,665152
LOUISIANA,BATON ROUGE,231592
LOUISIANA,LAFAYETTE,121726
LOUISIANA,NEW ORLEANS,346974
LOUISIANA,SHREVEPORT,201134
MARYLAND,BALTIMORE,626848
MASSACHUSETTS,BOSTON,621359
MASSACHUSETTS,CAMBRIDGE,105803
MASSACHUSETTS,LOWELL,107167
MASSACHUSETTS,SPRINGFIELD,153993
MASSACHUSETTS,WORCESTER,182145
MICHIGAN,ANN ARBOR,113848
MICHIGAN,DETROIT,713239
MICHIGAN,FLINT,102357
MICHIGAN,GRAND RAPIDS,187898
MICHIGAN,LANSING,114211
MICHIGAN,STERLING HEIGHTS3,129601
MICHIGAN,WARREN,133955
MINNESOTA,MINNEAPOLIS,385531
MINNESOTA,ROCHESTER7,107593
MINNESOTA,ST. PAUL,287665
MISSISSIPPI,JACKSON,174170
MISSOURI,COLUMBIA,108894
MISSOURI,INDEPENDENCE3,117255
MISSOURI,KANSAS CITY3,461458
MISSOURI,SPRINGFIELD,160078
MISSOURI,ST. LOUIS,320454
MONTANA,BILLINGS3,105095
NEBRASKA,LINCOLN,260685
NEBRASKA,OMAHA,412608
NEVADA,HENDERSON,259902
NEVADA,"LAS VEGAS METROPOLITAN
  POLICE DEPARTMENT     ",1458474
NEVADA,RENO,227120
NEW HAMPSHIRE,MANCHESTER,109708
NEW JERSEY,EDISON TOWNSHIP,100300
NEW JERSEY,ELIZABETH,125386
NEW JERSEY,JERSEY CITY,248423
NEW JERSEY,NEWARK,278064
NEW JERSEY,PATERSON,146685
NEW MEXICO,ALBUQUERQUE,551961
NEW YORK,AMHERST TOWN,117610
NEW YORK,BUFFALO3,262484
NEW YORK,NEW YORK,8211875
NEW YORK,ROCHESTER,211511
NEW YORK,SYRACUSE,145822
NEW YORK,YONKERS,196857
NORTH CAROLINA,CARY,136949
NORTH CAROLINA,CHARLOTTE-MECKLENBURG,789478
NORTH CAROLINA,DURHAM,231225
NORTH CAROLINA,FAYETTEVILLE,203107
NORTH CAROLINA,HIGH POINT,105695
NORTH CAROLINA,RALEIGH,409014
NORTH CAROLINA,WILMINGTON,107826
NORTH CAROLINA,WINSTON-SALEM,232529
NORTH DAKOTA,FARGO,107329
OHIO,AKRON,199256
OHIO,CINCINNATI,297160
OHIO,CLEVELAND,397106
OHIO,COLUMBUS,787609
OHIO,DAYTON,141631
OHIO,TOLEDO6,287418
OKLAHOMA,NORMAN,112112
OKLAHOMA,OKLAHOMA CITY,586208
OKLAHOMA,TULSA,396101
OREGON,EUGENE3,157848
OREGON,GRESHAM3,106718
OREGON,PORTLAND3,589991
OREGON,SALEM,156283
PENNSYLVANIA,ALLENTOWN,118408
PENNSYLVANIA,ERIE,102111
PENNSYLVANIA,PHILADELPHIA,1530873
PENNSYLVANIA,PITTSBURGH,308609
SOUTH CAROLINA,CHARLESTON,121481
SOUTH DAKOTA,SIOUX FALLS,155760
TENNESSEE,CHATTANOOGA,169187
TENNESSEE,CLARKSVILLE,134128
TENNESSEE,KNOXVILLE,180488
TENNESSEE,MEMPHIS,652725
TENNESSEE,MURFREESBORO,109736
TENNESSEE,NASHVILLE,612789
TEXAS,ABILENE,119526
TEXAS,AMARILLO,194708
TEXAS,ARLINGTON,373128
TEXAS,AUSTIN,807022
TEXAS,BEAUMONT,120785
TEXAS,BROWNSVILLE,178706
TEXAS,CARROLLTON,121603
TEXAS,CORPUS CHRISTI,311637
TEXAS,DALLAS,1223021
TEXAS,DENTON,115769
TEXAS,EL PASO,662780
TEXAS,FORT WORTH,756803
TEXAS,FRISCO,119451
TEXAS,GARLAND,231650
TEXAS,GRAND PRAIRIE,179087
TEXAS,HOUSTON,2143628
TEXAS,IRVING,220841
TEXAS,KILLEEN,130613
TEXAS,LAREDO,241059
TEXAS,LEWISVILLE,97295
TEXAS,LUBBOCK,234404
TEXAS,MCALLEN,132610
TEXAS,MCKINNEY,133876
TEXAS,MESQUITE,142766
TEXAS,MIDLAND3,113486
TEXAS,ODESSA,102043
TEXAS,PASADENA,152179
